accuracy,loss,val_accuracy,val_loss
0.711665153503418,0.5556149482727051,0.7297796607017517,0.5495808124542236
0.7330472469329834,0.5280597805976868,0.7571115493774414,0.5049430131912231
0.7402544021606445,0.5176491141319275,0.759626030921936,0.5027192234992981
0.74622642993927,0.510017454624176,0.7561283707618713,0.5072517395019531
0.750106692314148,0.5042691826820374,0.7601176500320435,0.5035732388496399
0.7533824443817139,0.5000149607658386,0.76125568151474,0.5016325116157532
0.7557330131530762,0.49655309319496155,0.7645090818405151,0.4952864646911621
0.7578209042549133,0.49331027269363403,0.7628675103187561,0.496516615152359
0.7599696516990662,0.49054789543151855,0.7646014094352722,0.4959550201892853
0.7614568471908569,0.4882779121398926,0.76529860496521,0.4961182475090027
0.7630329132080078,0.48582929372787476,0.7719990015029907,0.48270943760871887
0.7641956210136414,0.483987033367157,0.7622895240783691,0.5023086667060852
0.7655312418937683,0.4821760356426239,0.7658587098121643,0.49292364716529846
0.7663018703460693,0.4806814193725586,0.7663413286209106,0.4900178015232086
0.7674028277397156,0.47898170351982117,0.7661417126655579,0.4938550889492035
0.7682738900184631,0.47746479511260986,0.7669699788093567,0.4942392408847809
